trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,code,description,matched_terms,selection_tier,value_type,expected_units,source_sheet,source_metadata,review_status
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44TA,Plasma glucose level,Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f1,Serum fasting glucose level,Serum fasting glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f3,30 minute serum glucose level,30 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f4,60 minute serum glucose level,60 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f5,90 minute serum glucose level,90 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f6,120 minute serum glucose level,120 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44f7,150 minute serum glucose level,150 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g.,Plasma glucose level,Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g0,Plasma random glucose level,Plasma random glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g1,Plasma fasting glucose level,Plasma fasting glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g3,30 minute plasma glucose level,30 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g4,60 minute plasma glucose level,60 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g5,90 minute plasma glucose level,90 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g6,120 minute plasma glucose level,120 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g7,150 minute plasma glucose level,150 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g8,240 minute plasma glucose level,240 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,.44g9,300 minute plasma glucose level,300 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TA.,Plasma glucose level,Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TE.,30 minute blood glucose level,30 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TF.,60 minute blood glucose level,60 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TG.,90 minute blood glucose level,90 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TH.,120 minute blood glucose level,120 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TI.,150 minute blood glucose level,150 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TJ.,BS - Blood glucose level,Blood glucose level | BS - Blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TJ8,Baseline blood glucose level,Baseline blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TJ9,Blood glucose level after evening meal,Blood glucose level after evening meal,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TJA,Blood glucose level during night,Blood glucose level during night,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44TK.,Fasting blood glucose level,Fasting blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44U..,Plasma glucose level,Blood glucose result | Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44U7.,2 hour post-prandial blood glucose level,2 hour post-prandial blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f..,Serum glucose level,Serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f0.,Serum random glucose level,Serum random glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f1.,Serum fasting glucose level,Serum fasting glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f3.,30 minute serum glucose level,30 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f4.,60 minute serum glucose level,60 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f5.,90 minute serum glucose level,90 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f6.,120 minute serum glucose level,120 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44f7.,150 minute serum glucose level,150 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g..,Plasma glucose level,Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g0.,Plasma random glucose level,Plasma random glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g1.,Plasma fasting glucose level,Plasma fasting glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g3.,30 minute plasma glucose level,30 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g4.,60 minute plasma glucose level,60 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g5.,90 minute plasma glucose level,90 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g6.,120 minute plasma glucose level,120 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g7.,150 minute plasma glucose level,150 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g8.,240 minute plasma glucose level,240 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44g9.,300 minute plasma glucose level,300 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,44gA.,180 minute plasma glucose level,180 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,7P172,OGTT - Oral glucose tolerance test,OGTT - Oral glucose tolerance test,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,X772z,BS - Blood glucose level,Blood glucose level | BS - Blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XE25Y,Blood glucose result,Blood glucose result,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XE25Z,OGTT - Oral glucose tolerance test,OGTT - Oral glucose tolerance test,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XE28s,Plasma glucose level,(Blood sugar result [& glucose]) or (plasma glucose level) or (hyperglycaemia) | Blood glucose result | Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XE2mp,Random blood glucose level,Random blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XE2mq,Fasting blood glucose level,Fasting blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XE2mt,Blood glucose level at bedtime,Blood glucose level at bedtime,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XM0ly,Plasma glucose level,Plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,Xa974,Capillary blood glucose level,Capillary blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEM2,60 minute blood glucose level,60 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaENB,120 minute blood glucose level,120 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaENC,90 minute blood glucose level,90 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOS,150 minute blood glucose level,150 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOT,30 minute plasma glucose level,30 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOU,60 minute plasma glucose level,60 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOV,120 minute plasma glucose level,120 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOW,150 minute plasma glucose level,150 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOX,30 minute serum glucose level,30 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOY,60 minute serum glucose level,60 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOZ,120 minute serum glucose level,120 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEOf,30 minute blood glucose level,30 minute blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEPc,90 minute plasma glucose level,90 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaEPd,90 minute serum glucose level,90 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaERQ,150 minute serum glucose level,150 minute serum glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaOcC,240 minute plasma glucose level,240 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaOcE,300 minute plasma glucose level,300 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaX3x,180 minute plasma glucose level,180 minute plasma glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaaFn,Blood glucose level before breakfast,Blood glucose level before breakfast,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaaFo,Blood glucose level after breakfast,Blood glucose level after breakfast,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaaFp,Blood glucose level before lunch,Blood glucose level before lunch,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaaFq,Blood glucose level after lunch,Blood glucose level after lunch,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaaFs,Blood glucose level before evening meal,Blood glucose level before evening meal,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaaFu,Blood glucose level at bedtime,Blood glucose level at bedtime,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,Xabhy,Baseline blood glucose level,Baseline blood glucose level,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,Xabmv,Blood glucose level after evening meal,Blood glucose level after evening meal,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,Xabmw,Blood glucose level during night,Blood glucose level during night,core,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,P,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,R10D.,[D]Elevated blood glucose level,[D]Elevated blood glucose level,extended_review,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
glycaemia.blood_glucose.ctv3,glycaemia,blood_glucose,ctv3,gp_clinical,read_3,exact,true,XaFxf,[D]Elevated blood glucose level,[D]Elevated blood glucose level,extended_review,numeric_candidate,mmol/L; verify source unit,read_ctv3_lkp,S,candidate_requires_clinical_review
