trait_id,trait_group,trait,coding_system,source_dataset,source_field,match_type,case_sensitive,expected_units,core_rows,extended_review_rows,total_rows,path,review_status
haematology.white_blood_cell_count.ctv3,haematology,white_blood_cell_count,ctv3,gp_clinical,read_3,exact,true,10^9/L,6,6,12,codelists/clinical_traits/haematology/white_blood_cell_count/ctv3.csv,candidate_requires_clinical_review
haematology.white_blood_cell_count.read_v2,haematology,white_blood_cell_count,read_v2,gp_clinical,read_2,exact,true,10^9/L,3,3,6,codelists/clinical_traits/haematology/white_blood_cell_count/read_v2.csv,candidate_requires_clinical_review
haemodynamics.blood_pressure.ctv3,haemodynamics,blood_pressure,ctv3,gp_clinical,read_3,exact,true,mmHg,2,23,25,codelists/clinical_traits/haemodynamics/blood_pressure/ctv3.csv,candidate_requires_clinical_review
haemodynamics.blood_pressure.read_v2,haemodynamics,blood_pressure,read_v2,gp_clinical,read_2,exact,true,mmHg,1,10,11,codelists/clinical_traits/haemodynamics/blood_pressure/read_v2.csv,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.ctv3,haemodynamics,diastolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,mmHg,28,18,46,codelists/clinical_traits/haemodynamics/diastolic_blood_pressure/ctv3.csv,candidate_requires_clinical_review
haemodynamics.diastolic_blood_pressure.read_v2,haemodynamics,diastolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,mmHg,10,3,13,codelists/clinical_traits/haemodynamics/diastolic_blood_pressure/read_v2.csv,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.ctv3,haemodynamics,systolic_blood_pressure,ctv3,gp_clinical,read_3,exact,true,mmHg,28,18,46,codelists/clinical_traits/haemodynamics/systolic_blood_pressure/ctv3.csv,candidate_requires_clinical_review
haemodynamics.systolic_blood_pressure.read_v2,haemodynamics,systolic_blood_pressure,read_v2,gp_clinical,read_2,exact,true,mmHg,10,3,13,codelists/clinical_traits/haemodynamics/systolic_blood_pressure/read_v2.csv,candidate_requires_clinical_review
inflammation.c_reactive_protein.ctv3,inflammation,c_reactive_protein,ctv3,gp_clinical,read_3,exact,true,mg/L,7,1,8,codelists/clinical_traits/inflammation/c_reactive_protein/ctv3.csv,candidate_requires_clinical_review
inflammation.c_reactive_protein.read_v2,inflammation,c_reactive_protein,read_v2,gp_clinical,read_2,exact,true,mg/L,1,1,2,codelists/clinical_traits/inflammation/c_reactive_protein/read_v2.csv,candidate_requires_clinical_review
lipids.apolipoprotein_a.ctv3,lipids,apolipoprotein_a,ctv3,gp_clinical,read_3,exact,true,g/L; verify analyte and source unit,6,0,6,codelists/clinical_traits/lipids/apolipoprotein_a/ctv3.csv,candidate_requires_clinical_review
lipids.apolipoprotein_a.read_v2,lipids,apolipoprotein_a,read_v2,gp_clinical,read_2,exact,true,g/L; verify analyte and source unit,2,0,2,codelists/clinical_traits/lipids/apolipoprotein_a/read_v2.csv,candidate_requires_clinical_review
lipids.apolipoprotein_b.ctv3,lipids,apolipoprotein_b,ctv3,gp_clinical,read_3,exact,true,g/L; verify source unit,6,0,6,codelists/clinical_traits/lipids/apolipoprotein_b/ctv3.csv,candidate_requires_clinical_review
lipids.apolipoprotein_b.read_v2,lipids,apolipoprotein_b,read_v2,gp_clinical,read_2,exact,true,g/L; verify source unit,2,0,2,codelists/clinical_traits/lipids/apolipoprotein_b/read_v2.csv,candidate_requires_clinical_review
lipids.hdl_cholesterol.ctv3,lipids,hdl_cholesterol,ctv3,gp_clinical,read_3,exact,true,mmol/L,13,9,22,codelists/clinical_traits/lipids/hdl_cholesterol/ctv3.csv,candidate_requires_clinical_review
lipids.hdl_cholesterol.read_v2,lipids,hdl_cholesterol,read_v2,gp_clinical,read_2,exact,true,mmol/L,6,2,8,codelists/clinical_traits/lipids/hdl_cholesterol/read_v2.csv,candidate_requires_clinical_review
lipids.ldl_cholesterol.ctv3,lipids,ldl_cholesterol,ctv3,gp_clinical,read_3,exact,true,mmol/L,16,3,19,codelists/clinical_traits/lipids/ldl_cholesterol/ctv3.csv,candidate_requires_clinical_review
lipids.ldl_cholesterol.read_v2,lipids,ldl_cholesterol,read_v2,gp_clinical,read_2,exact,true,mmol/L,7,0,7,codelists/clinical_traits/lipids/ldl_cholesterol/read_v2.csv,candidate_requires_clinical_review
lipids.lipoprotein_a.ctv3,lipids,lipoprotein_a,ctv3,gp_clinical,read_3,exact,true,nmol/L or mg/dL; do not convert without an assay-specific factor,2,0,2,codelists/clinical_traits/lipids/lipoprotein_a/ctv3.csv,candidate_requires_clinical_review
lipids.lipoprotein_a.read_v2,lipids,lipoprotein_a,read_v2,gp_clinical,read_2,exact,true,nmol/L or mg/dL; do not convert without an assay-specific factor,1,0,1,codelists/clinical_traits/lipids/lipoprotein_a/read_v2.csv,candidate_requires_clinical_review
lipids.total_cholesterol.ctv3,lipids,total_cholesterol,ctv3,gp_clinical,read_3,exact,true,mmol/L,7,24,31,codelists/clinical_traits/lipids/total_cholesterol/ctv3.csv,candidate_requires_clinical_review
lipids.total_cholesterol.read_v2,lipids,total_cholesterol,read_v2,gp_clinical,read_2,exact,true,mmol/L,2,10,12,codelists/clinical_traits/lipids/total_cholesterol/read_v2.csv,candidate_requires_clinical_review
lipids.triglycerides.ctv3,lipids,triglycerides,ctv3,gp_clinical,read_3,exact,true,mmol/L,5,28,33,codelists/clinical_traits/lipids/triglycerides/ctv3.csv,candidate_requires_clinical_review
lipids.triglycerides.read_v2,lipids,triglycerides,read_v2,gp_clinical,read_2,exact,true,mmol/L,2,12,14,codelists/clinical_traits/lipids/triglycerides/read_v2.csv,candidate_requires_clinical_review
liver.alanine_aminotransferase.ctv3,liver,alanine_aminotransferase,ctv3,gp_clinical,read_3,exact,true,U/L,9,0,9,codelists/clinical_traits/liver/alanine_aminotransferase/ctv3.csv,candidate_requires_clinical_review
liver.alanine_aminotransferase.read_v2,liver,alanine_aminotransferase,read_v2,gp_clinical,read_2,exact,true,U/L,3,2,5,codelists/clinical_traits/liver/alanine_aminotransferase/read_v2.csv,candidate_requires_clinical_review
liver.albumin.ctv3,liver,albumin,ctv3,gp_clinical,read_3,exact,true,g/L; verify source unit,6,2,8,codelists/clinical_traits/liver/albumin/ctv3.csv,candidate_requires_clinical_review
liver.albumin.read_v2,liver,albumin,read_v2,gp_clinical,read_2,exact,true,g/L; verify source unit,2,2,4,codelists/clinical_traits/liver/albumin/read_v2.csv,candidate_requires_clinical_review
liver.alkaline_phosphatase.ctv3,liver,alkaline_phosphatase,ctv3,gp_clinical,read_3,exact,true,U/L,7,5,12,codelists/clinical_traits/liver/alkaline_phosphatase/ctv3.csv,candidate_requires_clinical_review
liver.alkaline_phosphatase.read_v2,liver,alkaline_phosphatase,read_v2,gp_clinical,read_2,exact,true,U/L,2,2,4,codelists/clinical_traits/liver/alkaline_phosphatase/read_v2.csv,candidate_requires_clinical_review
liver.aspartate_aminotransferase.ctv3,liver,aspartate_aminotransferase,ctv3,gp_clinical,read_3,exact,true,U/L,10,0,10,codelists/clinical_traits/liver/aspartate_aminotransferase/ctv3.csv,candidate_requires_clinical_review
liver.aspartate_aminotransferase.read_v2,liver,aspartate_aminotransferase,read_v2,gp_clinical,read_2,exact,true,U/L,3,0,3,codelists/clinical_traits/liver/aspartate_aminotransferase/read_v2.csv,candidate_requires_clinical_review
liver.bilirubin.ctv3,liver,bilirubin,ctv3,gp_clinical,read_3,exact,true,umol/L; distinguish total and direct,15,8,23,codelists/clinical_traits/liver/bilirubin/ctv3.csv,candidate_requires_clinical_review
liver.bilirubin.read_v2,liver,bilirubin,read_v2,gp_clinical,read_2,exact,true,umol/L; distinguish total and direct,5,4,9,codelists/clinical_traits/liver/bilirubin/read_v2.csv,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.ctv3,liver,gamma_glutamyl_transferase,ctv3,gp_clinical,read_3,exact,true,U/L,8,4,12,codelists/clinical_traits/liver/gamma_glutamyl_transferase/ctv3.csv,candidate_requires_clinical_review
liver.gamma_glutamyl_transferase.read_v2,liver,gamma_glutamyl_transferase,read_v2,gp_clinical,read_2,exact,true,U/L,2,2,4,codelists/clinical_traits/liver/gamma_glutamyl_transferase/read_v2.csv,candidate_requires_clinical_review
medication.antihypertensive.bnf,medication,antihypertensive,bnf,gp_scripts,bnf_code,prefix,true,not applicable,131,0,131,codelists/medications/antihypertensive/bnf.csv,candidate_requires_pharmacology_review
medication.antihypertensive.read_v2_drug,medication,antihypertensive,read_v2_drug,gp_scripts,read_2,exact,true,not applicable,1098,0,1098,codelists/medications/antihypertensive/read_v2_drug.csv,candidate_requires_pharmacology_review
medication.glucose_lowering.bnf,medication,glucose_lowering,bnf,gp_scripts,bnf_code,prefix,true,not applicable,68,0,68,codelists/medications/glucose_lowering/bnf.csv,candidate_requires_pharmacology_review
medication.glucose_lowering.read_v2_drug,medication,glucose_lowering,read_v2_drug,gp_scripts,read_2,exact,true,not applicable,507,0,507,codelists/medications/glucose_lowering/read_v2_drug.csv,candidate_requires_pharmacology_review
medication.lipid_lowering.bnf,medication,lipid_lowering,bnf,gp_scripts,bnf_code,prefix,true,not applicable,34,0,34,codelists/medications/lipid_lowering/bnf.csv,candidate_requires_pharmacology_review
medication.lipid_lowering.read_v2_drug,medication,lipid_lowering,read_v2_drug,gp_scripts,read_2,exact,true,not applicable,189,0,189,codelists/medications/lipid_lowering/read_v2_drug.csv,candidate_requires_pharmacology_review
medication.weight_management.bnf,medication,weight_management,bnf,gp_scripts,bnf_code,prefix,true,not applicable,11,0,11,codelists/medications/weight_management/bnf.csv,candidate_requires_pharmacology_review
medication.weight_management.read_v2_drug,medication,weight_management,read_v2_drug,gp_scripts,read_2,exact,true,not applicable,47,0,47,codelists/medications/weight_management/read_v2_drug.csv,candidate_requires_pharmacology_review
metabolic.calcium.ctv3,metabolic,calcium,ctv3,gp_clinical,read_3,exact,true,mmol/L; distinguish corrected and uncorrected,11,6,17,codelists/clinical_traits/metabolic/calcium/ctv3.csv,candidate_requires_clinical_review
metabolic.calcium.read_v2,metabolic,calcium,read_v2,gp_clinical,read_2,exact,true,mmol/L; distinguish corrected and uncorrected,4,4,8,codelists/clinical_traits/metabolic/calcium/read_v2.csv,candidate_requires_clinical_review
metabolic.phosphate.ctv3,metabolic,phosphate,ctv3,gp_clinical,read_3,exact,true,mmol/L; verify source unit,6,2,8,codelists/clinical_traits/metabolic/phosphate/ctv3.csv,candidate_requires_clinical_review
metabolic.phosphate.read_v2,metabolic,phosphate,read_v2,gp_clinical,read_2,exact,true,mmol/L; verify source unit,1,3,4,codelists/clinical_traits/metabolic/phosphate/read_v2.csv,candidate_requires_clinical_review
metabolic.urate.ctv3,metabolic,urate,ctv3,gp_clinical,read_3,exact,true,umol/L; verify source unit,10,0,10,codelists/clinical_traits/metabolic/urate/ctv3.csv,candidate_requires_clinical_review
metabolic.urate.read_v2,metabolic,urate,read_v2,gp_clinical,read_2,exact,true,umol/L; verify source unit,3,0,3,codelists/clinical_traits/metabolic/urate/read_v2.csv,candidate_requires_clinical_review
metabolic.vitamin_d.ctv3,metabolic,vitamin_d,ctv3,gp_clinical,read_3,exact,true,nmol/L; prefer total 25-hydroxyvitamin D,5,6,11,codelists/clinical_traits/metabolic/vitamin_d/ctv3.csv,candidate_requires_clinical_review
metabolic.vitamin_d.read_v2,metabolic,vitamin_d,read_v2,gp_clinical,read_2,exact,true,nmol/L; prefer total 25-hydroxyvitamin D,2,2,4,codelists/clinical_traits/metabolic/vitamin_d/read_v2.csv,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.ctv3,renal,albumin_creatinine_ratio,ctv3,gp_clinical,read_3,exact,true,mg/mmol; verify source unit,9,0,9,codelists/clinical_traits/renal/albumin_creatinine_ratio/ctv3.csv,candidate_requires_clinical_review
renal.albumin_creatinine_ratio.read_v2,renal,albumin_creatinine_ratio,read_v2,gp_clinical,read_2,exact,true,mg/mmol; verify source unit,2,0,2,codelists/clinical_traits/renal/albumin_creatinine_ratio/read_v2.csv,candidate_requires_clinical_review
renal.creatinine.ctv3,renal,creatinine,ctv3,gp_clinical,read_3,exact,true,umol/L; verify source unit,6,11,17,codelists/clinical_traits/renal/creatinine/ctv3.csv,candidate_requires_clinical_review
renal.creatinine.read_v2,renal,creatinine,read_v2,gp_clinical,read_2,exact,true,umol/L; verify source unit,2,7,9,codelists/clinical_traits/renal/creatinine/read_v2.csv,candidate_requires_clinical_review
renal.cystatin_c.ctv3,renal,cystatin_c,ctv3,gp_clinical,read_3,exact,true,mg/L; verify source unit,5,0,5,codelists/clinical_traits/renal/cystatin_c/ctv3.csv,candidate_requires_clinical_review
renal.cystatin_c.read_v2,renal,cystatin_c,read_v2,gp_clinical,read_2,exact,true,mg/L; verify source unit,2,0,2,codelists/clinical_traits/renal/cystatin_c/read_v2.csv,candidate_requires_clinical_review
renal.egfr.ctv3,renal,egfr,ctv3,gp_clinical,read_3,exact,true,mL/min/1.73m2; verify equation,12,0,12,codelists/clinical_traits/renal/egfr/ctv3.csv,candidate_requires_clinical_review
renal.egfr.read_v2,renal,egfr,read_v2,gp_clinical,read_2,exact,true,mL/min/1.73m2; verify equation,5,0,5,codelists/clinical_traits/renal/egfr/read_v2.csv,candidate_requires_clinical_review
renal.urea.ctv3,renal,urea,ctv3,gp_clinical,read_3,exact,true,mmol/L; verify source unit,8,0,8,codelists/clinical_traits/renal/urea/ctv3.csv,candidate_requires_clinical_review
renal.urea.read_v2,renal,urea,read_v2,gp_clinical,read_2,exact,true,mmol/L; verify source unit,3,0,3,codelists/clinical_traits/renal/urea/read_v2.csv,candidate_requires_clinical_review
thyroid.free_t3.ctv3,thyroid,free_t3,ctv3,gp_clinical,read_3,exact,true,pmol/L; verify source unit,8,1,9,codelists/clinical_traits/thyroid/free_t3/ctv3.csv,candidate_requires_clinical_review
thyroid.free_t3.read_v2,thyroid,free_t3,read_v2,gp_clinical,read_2,exact,true,pmol/L; verify source unit,3,0,3,codelists/clinical_traits/thyroid/free_t3/read_v2.csv,candidate_requires_clinical_review
thyroid.free_t4.ctv3,thyroid,free_t4,ctv3,gp_clinical,read_3,exact,true,pmol/L; verify source unit,8,1,9,codelists/clinical_traits/thyroid/free_t4/ctv3.csv,candidate_requires_clinical_review
thyroid.free_t4.read_v2,thyroid,free_t4,read_v2,gp_clinical,read_2,exact,true,pmol/L; verify source unit,3,0,3,codelists/clinical_traits/thyroid/free_t4/read_v2.csv,candidate_requires_clinical_review
thyroid.thyroglobulin_antibody.ctv3,thyroid,thyroglobulin_antibody,ctv3,gp_clinical,read_3,exact,true,IU/mL or kIU/L; verify assay,0,3,3,codelists/clinical_traits/thyroid/thyroglobulin_antibody/ctv3.csv,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.ctv3,thyroid,thyroid_peroxidase_antibody,ctv3,gp_clinical,read_3,exact,true,IU/mL or kIU/L; verify assay,5,1,6,codelists/clinical_traits/thyroid/thyroid_peroxidase_antibody/ctv3.csv,candidate_requires_clinical_review
thyroid.thyroid_peroxidase_antibody.read_v2,thyroid,thyroid_peroxidase_antibody,read_v2,gp_clinical,read_2,exact,true,IU/mL or kIU/L; verify assay,2,0,2,codelists/clinical_traits/thyroid/thyroid_peroxidase_antibody/read_v2.csv,candidate_requires_clinical_review
thyroid.tsh.ctv3,thyroid,tsh,ctv3,gp_clinical,read_3,exact,true,mIU/L; verify source unit,11,7,18,codelists/clinical_traits/thyroid/tsh/ctv3.csv,candidate_requires_clinical_review
thyroid.tsh.read_v2,thyroid,tsh,read_v2,gp_clinical,read_2,exact,true,mIU/L; verify source unit,3,2,5,codelists/clinical_traits/thyroid/tsh/read_v2.csv,candidate_requires_clinical_review
